# Textos do launcher: portugues = english | espanol | russo | indonesio | turco

Restaura um backup exportado em outro PC (o launcher reabre sozinho) = Restores a backup exported on another PC (the launcher restarts by itself) | Restaura una copia exportada en otro PC (el launcher se reabre solo) | Восстанавливает копию с другого ПК (лаунчер перезапустится сам) | Memulihkan cadangan dari PC lain (launcher membuka ulang sendiri) | Başka PC'de alınan yedeği geri yükler (launcher kendini yeniden açar)
Sair = Quit | Salir | Выход | Keluar | Çık
Salvar = Save | Guardar | Сохранить | Simpan | Kaydet
Salvar senhas de RCON = Save RCON passwords | Guardar contraseñas RCON | Сохранять пароли RCON | Simpan kata sandi RCON | RCON şifrelerini kaydet
Salvar senhas de servidor automaticamente = Save server passwords automatically | Guardar contraseñas de servidor automáticamente | Автоматически сохранять пароли серверов | Simpan kata sandi server otomatis | Sunucu şifrelerini otomatik kaydet
samp.exe nao encontrado na data em uso - confira a pasta na aba de datas = samp.exe not found in the install in use - check the folder in the Installs tab | samp.exe no encontrado en la instalación en uso - revisa la carpeta en Instalaciones | samp.exe не найден в текущей установке — проверьте папку во вкладке Установки | samp.exe tidak ditemukan di instalasi yang dipakai - periksa folder di tab Instalasi | Kullanılan kurulumda samp.exe bulunamadı - Kurulumlar sekmesinde klasörü kontrol edin
Selecionar várias (ou Ctrl+clique; Ctrl+A marca todas) = Select several (or Ctrl+click; Ctrl+A selects all) | Seleccionar varias (o Ctrl+clic; Ctrl+A marca todas) | Выбрать несколько (или Ctrl+клик; Ctrl+A — все) | Pilih beberapa (atau Ctrl+klik; Ctrl+A pilih semua) | Birden çok seç (veya Ctrl+tık; Ctrl+A tümünü seçer)
Selecione o gta_sa.exe da instalacao = Select the install's gta_sa.exe | Selecciona el gta_sa.exe de la instalación | Выберите gta_sa.exe установки | Pilih gta_sa.exe instalasi | Kurulumun gta_sa.exe'sini seçin
Selecione o gta_sa.exe da nova data = Select the new install's gta_sa.exe | Selecciona el gta_sa.exe de la nueva instalación | Выберите gta_sa.exe новой установки | Pilih gta_sa.exe instalasi baru | Yeni kurulumun gta_sa.exe'sini seçin
sem resposta = no response | sin respuesta | нет ответа | tak merespons | yanıt yok
sem SA-MP = no SA-MP | sin SA-MP | нет SA-MP | tanpa SA-MP | SA-MP yok
Senha = Password | Contraseña | Пароль | Kata sandi | Şifre
SERVIDOR COM SENHA = PASSWORDED SERVER | SERVIDOR CON CONTRASEÑA | СЕРВЕР С ПАРОЛЕМ | SERVER BERKATA SANDI | ŞİFRELİ SUNUCU
Servidores = Servers | Servidores | Серверы | Server | Sunucular
SERVIDORES = SERVERS | SERVIDORES | СЕРВЕРЫ | SERVER | SUNUCULAR
Site = Website | Sitio | Сайт | Situs | Site
Sortear outra capa = Pick another random cover | Elegir otra portada al azar | Другая случайная обложка | Acak sampul lain | Başka rastgele kapak
Tire fotos no jogo com F8 e clique em Atualizar. = Take screenshots in game with F8 and click Refresh. | Toma capturas en el juego con F8 y pulsa Actualizar. | Делайте скриншоты в игре клавишей F8 и нажмите «Обновить». | Ambil tangkapan layar di game dengan F8 lalu klik Segarkan. | Oyunda F8 ile ekran görüntüsü alın ve Yenile'ye basın.
Trocar caminho... = Change path... | Cambiar ruta... | Изменить путь... | Ubah lokasi... | Yolu değiştir...
Trocar imagem de fundo... = Change background image... | Cambiar imagen de fondo... | Изменить фон... | Ubah gambar latar... | Arka plan görselini değiştir...
Trocar imagem... = Change image... | Cambiar imagen... | Изменить изображение... | Ubah gambar... | Görseli değiştir...
Trocar logo... = Change logo... | Cambiar logo... | Изменить логотип... | Ubah logo... | Logoyu değiştir...
Trocar User Files... = Change User Files... | Cambiar User Files... | Изменить User Files... | Ubah User Files... | User Files'ı değiştir...
Trok Launcher %s  -  feito pela equipe TrokMods = Trok Launcher %s  -  made by the TrokMods team | Trok Launcher %s  -  hecho por el equipo TrokMods | Trok Launcher %s  -  сделано командой TrokMods | Trok Launcher %s  -  dibuat oleh tim TrokMods | Trok Launcher %s  -  TrokMods ekibi yaptı
User Files vazio = a pasta padrão em Documentos. A galeria lê as screens dela. = Empty User Files = the default folder in Documents. The gallery reads its screenshots. | User Files vacío = la carpeta por defecto en Documentos. La galería lee sus capturas. | Пустой User Files = папка по умолчанию в Документах. Галерея читает скриншоты оттуда. | User Files kosong = folder bawaan di Documents. Galeri membaca tangkapan layar dari sana. | Boş User Files = Belgeler'deki varsayılan klasör. Galeri görüntüleri oradan okur.
vazio = nome que o servidor responder = empty = the name the server reports | vacío = el nombre que responda el servidor | пусто = название, которое сообщит сервер | kosong = nama yang dilaporkan server | boş = sunucunun bildirdiği ad
vazio = nome real do servidor = empty = the server's real name | vacío = nombre real del servidor | пусто = настоящее название сервера | kosong = nama asli server | boş = sunucunun gerçek adı
Visite nosso blog TrokMods. Clique num post para abrir no navegador. = Visit our TrokMods blog. Click a post to open it in the browser. | Visita nuestro blog TrokMods. Haz clic en un post para abrirlo en el navegador. | Заходите в наш блог TrokMods. Нажмите на пост, чтобы открыть в браузере. | Kunjungi blog TrokMods kami. Klik postingan untuk membukanya di browser. | TrokMods blogumuzu ziyaret edin. Tarayıcıda açmak için bir gönderiye tıklayın.
Voltar = Back | Volver | Назад | Kembali | Geri
